DATE,Forecast,Lower CI,Upper CI,COUNTRY/REGION
2024-01-31,162487,119773,205202,USA
2024-02-29,199092,153663,244522,USA
2024-03-31,230494,184637,276352,USA
2024-04-30,205178,159170,251186,USA
2024-05-31,168875,122813,214937,USA
2024-06-30,156377,110296,202458,USA
2024-07-31,157846,111759,203933,USA
2024-08-31,169674,123584,215763,USA
2024-09-30,183935,137844,230025,USA
2024-10-31,181055,134964,227145,USA
2024-11-30,135832,89742,181922,USA
2024-12-31,204502,158416,250588,USA
2025-01-31,160240,94171,226310,USA
2025-02-28,206313,138054,274571,USA
2025-03-31,233932,165321,302544,USA
2025-04-30,205601,136865,274337,USA
2025-05-31,163234,94454,232015,USA
2025-06-30,155733,86937,224529,USA
2025-07-31,151732,82931,220534,USA
2025-08-31,175855,107051,244658,USA
2025-09-30,192367,123563,261171,USA
2025-10-31,185470,116666,254274,USA
2025-11-30,131170,62367,199973,USA
2025-12-31,207228,138431,276025,USA
2024-01-31,17581,13754,21409,UK
2024-02-29,17301,12603,22000,UK
2024-03-31,18220,13119,23321,UK
2024-04-30,17423,11801,23044,UK
2024-05-31,16617,10473,22761,UK
2024-06-30,15857,9271,22442,UK
2024-07-31,17936,10940,24932,UK
2024-08-31,17560,10167,24952,UK
2024-09-30,17260,9491,25028,UK
2024-10-31,17656,9531,25781,UK
2024-11-30,16887,8420,25354,UK
2024-12-31,18466,9670,27263,UK
2025-01-31,17928,8659,27197,UK
2025-02-28,18468,8796,28141,UK
2025-03-31,19224,9191,29256,UK
2025-04-30,17633,7240,28027,UK
2025-05-31,16923,6177,27669,UK
2025-06-30,16352,5268,27436,UK
2025-07-31,17858,6446,29269,UK
2025-08-31,17584,5852,29315,UK
2025-09-30,17647,5605,29689,UK
2025-10-31,17719,5375,30064,UK
2025-11-30,17120,4479,29760,UK
2025-12-31,18782,5851,31712,UK
2024-01-31,5528,4201,6855,caribbean
2024-02-29,5870,3975,7765,caribbean
2024-03-31,5931,3588,8274,caribbean
2024-04-30,6256,3525,8987,caribbean
2024-05-31,5398,2317,8479,caribbean
2024-06-30,5159,1753,8565,caribbean
2024-07-31,6523,2811,10236,caribbean
2024-08-31,5940,1936,9944,caribbean
2024-09-30,5971,1687,10255,caribbean
2024-10-31,5850,1296,10405,caribbean
2024-11-30,4980,163,9797,caribbean
2024-12-31,7069,1995,12143,caribbean
2025-01-31,5718,97,11339,caribbean
2025-02-28,5972,-161,12106,caribbean
2025-03-31,5931,-690,12552,caribbean
2025-04-30,6137,-950,13225,caribbean
2025-05-31,5440,-2098,12978,caribbean
2025-06-30,5147,-2827,13121,caribbean
2025-07-31,6480,-1919,14880,caribbean
2025-08-31,5784,-3031,14599,caribbean
2025-09-30,5915,-3307,15136,caribbean
2025-10-31,5877,-3744,15499,caribbean
2025-11-30,5138,-4877,15153,caribbean
2025-12-31,7059,-3344,17462,caribbean
2024-01-31,32796,25557,40035,CANADA
2024-02-29,33706,25371,42041,CANADA
2024-03-31,35178,26515,43840,CANADA
2024-04-30,33737,24971,42504,CANADA
2024-05-31,28177,19377,36977,CANADA
2024-06-30,26883,18072,35694,CANADA
2024-07-31,29235,20420,38050,CANADA
2024-08-31,29689,20873,38505,CANADA
2024-09-30,30310,21493,39126,CANADA
2024-10-31,30393,21576,39209,CANADA
2024-11-30,29469,20653,38285,CANADA
2024-12-31,36732,27917,45547,CANADA
2025-01-31,32739,23199,42280,CANADA
2025-02-28,33241,23475,43007,CANADA
2025-03-31,34379,24540,44217,CANADA
2025-04-30,32881,23019,42744,CANADA
2025-05-31,28249,18379,38119,CANADA
2025-06-30,27370,17497,37242,CANADA
2025-07-31,29837,19964,39710,CANADA
2025-08-31,29870,19996,39743,CANADA
2025-09-30,30377,20503,40250,CANADA
2025-10-31,30639,20766,40512,CANADA
2025-11-30,29679,19806,39552,CANADA
2025-12-31,35748,25877,45619,CANADA
2024-01-31,2429,1665,3193,latin america
2024-02-29,2595,1514,3675,latin america
2024-03-31,2395,1072,3718,latin america
2024-04-30,2416,888,3944,latin america
2024-05-31,1991,283,3699,latin america
2024-06-30,1882,10,3753,latin america
2024-07-31,2595,574,4617,latin america
2024-08-31,2351,190,4512,latin america
2024-09-30,2486,194,4778,latin america
2024-10-31,1864,-552,4280,latin america
2024-11-30,2066,-468,4600,latin america
2024-12-31,2700,54,5347,latin america
2025-01-31,3157,101,6213,latin america
2025-02-28,3323,-94,6740,latin america
2025-03-31,3123,-620,6866,latin america
2025-04-30,3144,-899,7187,latin america
2025-05-31,2719,-1603,7041,latin america
2025-06-30,2610,-1974,7194,latin america
2025-07-31,3323,-1509,8155,latin america
2025-08-31,3079,-1989,8147,latin america
2025-09-30,3214,-2079,8507,latin america
2025-10-31,2592,-2917,8102,latin america
2025-11-30,2794,-2924,8511,latin america
2025-12-31,3428,-2490,9347,latin america
2024-01-31,1662,803,2521,other europe
2024-02-29,1453,371,2534,other europe
2024-03-31,1302,109,2494,other europe
2024-04-30,1484,231,2737,other europe
2024-05-31,1273,-14,2560,other europe
2024-06-30,938,-368,2245,other europe
2024-07-31,1577,259,2895,other europe
2024-08-31,1628,303,2952,other europe
2024-09-30,1430,102,2758,other europe
2024-10-31,996,-335,2326,other europe
2024-11-30,1086,-246,2418,other europe
2024-12-31,1683,351,3015,other europe
2025-01-31,1534,86,2982,other europe
2025-02-28,1355,-157,2867,other europe
2025-03-31,1227,-321,2775,other europe
2025-04-30,1427,-142,2996,other europe
2025-05-31,1229,-352,2810,other europe
2025-06-30,905,-683,2493,other europe
2025-07-31,1552,-40,3143,other europe
2025-08-31,1608,14,3202,other europe
2025-09-30,1415,-180,3011,other europe
2025-10-31,984,-612,2580,other europe
2025-11-30,1077,-520,2674,other europe
2025-12-31,1676,79,3273,other europe
2024-01-31,1547,445,2650,GERMANY
2024-02-29,1535,192,2878,GERMANY
2024-03-31,1486,-36,3007,GERMANY
2024-04-30,1538,-177,3252,GERMANY
2024-05-31,1301,-584,3186,GERMANY
2024-06-30,1277,-764,3318,GERMANY
2024-07-31,1349,-840,3539,GERMANY
2024-08-31,1322,-1009,3652,GERMANY
2024-09-30,1309,-1156,3774,GERMANY
2024-10-31,1337,-1257,3932,GERMANY
2024-11-30,1395,-1324,4115,GERMANY
2024-12-31,1482,-1359,4322,GERMANY
2025-01-31,1376,-1695,4447,GERMANY
2025-02-28,1366,-1885,4618,GERMANY
2025-03-31,1328,-2092,4747,GERMANY
2025-04-30,1364,-2224,4953,GERMANY
2025-05-31,1169,-2582,4919,GERMANY
2025-06-30,1146,-2761,5052,GERMANY
2025-07-31,1200,-2860,5259,GERMANY
2025-08-31,1178,-3031,5387,GERMANY
2025-09-30,1147,-3209,5502,GERMANY
2025-10-31,1152,-3346,5650,GERMANY
2025-11-30,1149,-3489,5787,GERMANY
2025-12-31,1174,-3602,5950,GERMANY
2024-01-31,70,-335,476,other
2024-02-29,12,-436,459,other
2024-03-31,174,-317,666,other
2024-04-30,121,-375,617,other
2024-05-31,51,-446,549,other
2024-06-30,65,-433,563,other
2024-07-31,83,-414,581,other
2024-08-31,66,-432,563,other
2024-09-30,110,-387,608,other
2024-10-31,107,-391,605,other
2024-11-30,200,-298,697,other
2024-12-31,193,-304,690,other
2025-01-31,158,-342,658,other
2025-02-28,99,-402,600,other
2025-03-31,195,-307,696,other
2025-04-30,136,-366,638,other
2025-05-31,45,-457,547,other
2025-06-30,62,-440,564,other
2025-07-31,77,-425,579,other
2025-08-31,63,-439,565,other
2025-09-30,108,-394,610,other
2025-10-31,107,-395,609,other
2025-11-30,199,-302,701,other
2025-12-31,193,-308,695,other
